"idsite","idearthquake","idbuilding","psdr","pfa","idresponse"
100,1,9,0.0027618,0.49665,18183
100,1,9,0.001245,0.51952,18184
101,1,9,0.012171,0.42691,18185
101,1,9,0.012271,0.35503,18186
101,1,9,0.012684,0.32156,18187
101,1,9,0.013293,0.28514,18188
101,1,9,0.013929,0.2295,18189
101,1,9,0.014535,0.17515,18190
101,1,9,0.015112,0.12907,18191
101,1,9,0.015653,0.15569,18192
101,1,9,0.016162,0.17434,18193
101,1,9,0.016628,0.19296,18194
101,1,9,0.017016,0.21937,18195
101,1,9,0.017277,0.24545,18196
101,1,9,0.017313,0.26757,18197
101,1,9,0.017186,0.28275,18198
101,1,9,0.016936,0.29479,18199
101,1,9,0.016573,0.30218,18200
101,1,9,0.016106,0.30772,18201
101,1,9,0.015545,0.30699,18202
101,1,9,0.014963,0.30375,18203
101,1,9,0.014462,0.30363,18204
101,1,9,0.01398,0.30585,18205
101,1,9,0.013525,0.31199,18206
101,1,9,0.013183,0.31139,18207
101,1,9,0.012916,0.30504,18208
101,1,9,0.012646,0.30864,18209
101,1,9,0.012388,0.31405,18210
101,1,9,0.012149,0.31641,18211
101,1,9,0.011945,0.3199,18212
101,1,9,0.011787,0.32239,18213
101,1,9,0.011637,0.32636,18214
101,1,9,0.011441,0.33417,18215
101,1,9,0.01117,0.33319,18216
101,1,9,0.010819,0.33115,18217
101,1,9,0.01039,0.33198,18218
101,1,9,0.0098536,0.34906,18219
101,1,9,0.0091883,0.36798,18220
101,1,9,0.0083511,0.39347,18221
101,1,9,0.0073233,0.4121,18222
101,1,9,0.0061611,0.4243,18223
101,1,9,0.004905,0.42776,18224
101,1,9,0.003555,0.42601,18225
101,1,9,0.001367,0.42199,18226
102,1,9,0.00070313,0.095981,18227
102,1,9,0.00072485,0.076324,18228
102,1,9,0.00074534,0.059258,18229
102,1,9,0.00076177,0.050977,18230
102,1,9,0.00077293,0.042731,18231
102,1,9,0.00077795,0.035421,18232
102,1,9,0.00077618,0.03408,18233
102,1,9,0.00076722,0.03868,18234
102,1,9,0.00075084,0.048136,18235
102,1,9,0.00074306,0.056056,18236
102,1,9,0.00073137,0.060091,18237
102,1,9,0.00071268,0.060352,18238
102,1,9,0.00068609,0.05875,18239
102,1,9,0.00066241,0.054948,18240
102,1,9,0.00063413,0.055155,18241
102,1,9,0.00060177,0.058003,18242
102,1,9,0.0005761,0.058046,18243
102,1,9,0.00054981,0.05568,18244
102,1,9,0.00052337,0.054683,18245
102,1,9,0.00049576,0.053689,18246
102,1,9,0.00046635,0.051609,18247
102,1,9,0.00043763,0.04987,18248
102,1,9,0.0004316,0.048442,18249
102,1,9,0.00043065,0.051867,18250
102,1,9,0.00042897,0.054142,18251
102,1,9,0.00042699,0.055411,18252
102,1,9,0.00043042,0.055704,18253
102,1,9,0.00043649,0.056395,18254
102,1,9,0.00044055,0.058088,18255
102,1,9,0.00044391,0.059535,18256
102,1,9,0.00044608,0.061576,18257
102,1,9,0.00044703,0.061155,18258
102,1,9,0.00044514,0.062534,18259
102,1,9,0.00044183,0.062782,18260
102,1,9,0.00043447,0.060956,18261
102,1,9,0.00042379,0.05709,18262
102,1,9,0.00040767,0.053988,18263
102,1,9,0.00038549,0.054068,18264
102,1,9,0.00035781,0.053001,18265
102,1,9,0.00032718,0.050875,18266
102,1,9,0.0003028,0.04781,18267
102,1,9,0.00013079,0.043909,18268
103,1,9,0.0008235,0.19046,18269
103,1,9,0.00085243,0.1507,18270
103,1,9,0.00086554,0.11014,18271
103,1,9,0.00085888,0.073074,18272
